id	output
{"address":"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","chainId":1}	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
{"address":"0xD84787a01B0cad89fBCa231E6960cC0f3f18df34","chainId":1}	{"name": "Pancake Swap Test Token", "symbol": "MOCHI", "decimals": 18}
{"address":"0xdb19f2052D2B1aD46Ed98C66336A5dAADEB13005","chainId":1}	{"name": "Pancake Swap Test Token", "symbol": "RUBY", "decimals": 18}
{"address":"0xdAC17F958D2ee523a2206206994597C13D831ec7","chainId":1}	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
{"address":"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","chainId":1}	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
{"address":"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","chainId":1}	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"address":"0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898","chainId":1}	{"name": "PancakeSwap Token", "symbol": "Cake", "decimals": 18}
{"address":"0x6B175474E89094C44Da98b954EedeAC495271d0F","chainId":1}	{"name": "Dai Stablecoin", "symbol": "DAI", "decimals": 18}
{"address":"0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32","chainId":1}	{"name": "Lido DAO Token", "symbol": "LDO", "decimals": 18}
{"address":"0x514910771AF9Ca656af840dff83E8264EcF986CA","chainId":1}	{"name": "ChainLink Token", "symbol": "LINK", "decimals": 18}
{"address":"0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0","chainId":1}	{"name": "Matic Token", "symbol": "MATIC", "decimals": 18}
{"address":"0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6","chainId":1}	{"name": "StargateToken", "symbol": "STG", "decimals": 18}
{"address":"0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0","chainId":1}	{"name": "Wrapped liquid staked Ether 2.0", "symbol": "wstETH", "decimals": 18}
{"address":"0x467719aD09025FcC6cF6F8311755809d45a5E5f3","chainId":1}	{"name": "Axelar", "symbol": "AXL", "decimals": 6}
{"address":"0x0100546F2cD4C9D97f798fFC9755E47865FF7Ee6","chainId":1}	{"name": "Alchemix ETH", "symbol": "alETH", "decimals": 18}
{"address":"0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF","chainId":1}	{"name": "Alchemix", "symbol": "ALCX", "decimals": 18}
{"address":"0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0","chainId":1}	{"name": "Frax Share", "symbol": "FXS", "decimals": 18}
{"address":"0x5E8422345238F34275888049021821E8E08CAa1f","chainId":1}	{"name": "Frax Ether", "symbol": "frxETH", "decimals": 18}
{"address":"0xD33526068D116cE69F19A9ee46F0bd304F21A51f","chainId":1}	{"name": "Rocket Pool Protocol", "symbol": "RPL", "decimals": 18}
{"address":"0xae78736Cd615f374D3085123A210448E74Fc6393","chainId":1}	{"name": "Rocket Pool ETH", "symbol": "rETH", "decimals": 18}
{"address":"0xE95A203B1a91a908F9B9CE46459d101078c2c3cb","chainId":1}	{"name": "Ankr Staked ETH", "symbol": "ankrETH", "decimals": 18}
{"address":"0xf203Ca1769ca8e9e8FE1DA9D147DB68B6c919817","chainId":1}	{"name": "Wrapped NCG", "symbol": "WNCG", "decimals": 18}
{"address":"0xBe9895146f7AF43049ca1c1AE358B0541Ea49704","chainId":1}	{"name": "Coinbase Wrapped Staked ETH", "symbol": "cbETH", "decimals": 18}
{"address":"0x1151CB3d861920e07a38e03eEAd12C32178567F6","chainId":1}	{"name": "Bonk", "symbol": "Bonk", "decimals": 5}
{"address":"0x3252d4221f92b7Af3774Da8312F01600eC84B252","chainId":1}	{"name": "Xoloitzcuintli", "symbol": "XOLO", "decimals": 18}
{"address":"0xa1E33b6b4e17CD883679de8a466F0bEF1a3a3aFc","chainId":1}	{"name": "Tether", "symbol": "USDT", "decimals": 18}
{"address":"0x6982508145454Ce325dDbE47a25d4ec3d2311933","chainId":1}	{"name": "Pepe", "symbol": "PEPE", "decimals": 18}
{"address":"0x4206931337dc273a630d328dA6441786BfaD668f","chainId":1}	{"name": "Dogecoin", "symbol": "DOGE", "decimals": 8}
{"address":"0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074","chainId":1}	{"name": "Mask Network", "symbol": "MASK", "decimals": 18}
{"address":"0x218319D5429b078A1B5a1426703C5d9E1990edeD","chainId":1}	{"name": "Grand Tourer", "symbol": "GT", "decimals": 8}
{"address":"0x249cA82617eC3DfB2589c4c17ab7EC9765350a18","chainId":1}	{"name": "Verse", "symbol": "VERSE", "decimals": 18}
{"address":"0x0Ae38f7E10A43B5b2fB064B42a2f4514cbA909ef","chainId":1}	{"name": "unshETH Ether", "symbol": "unshETH", "decimals": 18}
{"address":"0xa2E3356610840701BDf5611a53974510Ae27E2e1","chainId":1}	{"name": "Wrapped Binance Beacon ETH", "symbol": "wBETH", "decimals": 18}
{"address":"0x8f860b51D9d01568FB282cE9F0d85629895921f9","chainId":1}	{"name": "pepelon", "symbol": "PLON", "decimals": 18}
{"address":"0x5EC29A5975895Da237774A63e0f3051154fB043f","chainId":1}	{"name": "LaFlare Pepe", "symbol": "LAPEPE", "decimals": 18}
{"address":"0x5283D291DBCF85356A21bA090E6db59121208b44","chainId":1}	{"name": "Blur", "symbol": "BLUR", "decimals": 18}
{"address":"0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72","chainId":1}	{"name": "Ethereum Name Service", "symbol": "ENS", "decimals": 18}
{"address":"0xc41D2b3f3FA4f927104BE7011F6f4DEBd1764ffe","chainId":1}	{"name": "BitTrade", "symbol": "BitT", "decimals": 18}
{"address":"0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","chainId":56}	{"name": "Wrapped BNB", "symbol": "WBNB", "decimals": 18}
{"address":"0xaB15D45623970AD8AAcFe0a0334a5ed2BcF5A867","chainId":56}	{"name": "DigiByte", "symbol": "DGB", "decimals": 9}
{"address":"0x57a63C32CC2aD6CE4FBE5423d548D12d0EEDdfc1","chainId":56}	{"name": "Pancake Swap Test Token", "symbol": "JOJO", "decimals": 18}
{"address":"0xdb19f2052D2B1aD46Ed98C66336A5dAADEB13005","chainId":56}	{"name": "Pancake Swap Test Token", "symbol": "BUN", "decimals": 18}
